iter	Passed	Remaining
835	6689	17315
836	6695	17302
837	6702	17292
838	6710	17283
839	6716	17271
840	6722	17257
841	6732	17254
842	6742	17253
843	6753	17250
844	6762	17245
845	6772	17243
846	6782	17241
847	6789	17230
848	6799	17226
849	6810	17227
850	6821	17226
851	6830	17219
852	6840	17218
853	6851	17217
854	6861	17213
855	6868	17204
856	6877	17197
857	6886	17192
858	6906	17214
859	6925	17233
860	6947	17259
861	6962	17267
862	6989	17308
863	7004	17316
864	7021	17331
865	7028	17320
866	7036	17311
867	7048	17312
868	7057	17307
869	7069	17307
870	7076	17297
871	7089	17301
872	7099	17298
873	7112	17300
874	7128	17311
875	7134	17298
876	7146	17299
877	7157	17298
878	7170	17302
879	7179	17295
880	7188	17289
881	7205	17302
882	7221	17313
883	7234	17316
884	7242	17308
885	7253	17305
886	7264	17305
887	7274	17302
888	7284	17296
889	7292	17289
890	7305	17291
891	7315	17287
892	7320	17273
893	7329	17266
894	7342	17269
895	7352	17265
896	7361	17259
897	7375	17263
898	7382	17254
899	7397	17261
900	7412	17267
901	7430	17281
902	7441	17282
903	7454	17282
904	7462	17275
905	7471	17269
906	7480	17262
907	7497	17274
908	7511	17279
909	7522	17276
910	7532	17271
911	7541	17266
912	7550	17260
913	7560	17255
914	7571	17253
915	7582	17249
916	7596	17255
917	7607	17254
918	7619	17252
919	7630	17251
920	7642	17250
921	7653	17248
922	7667	17253
923	7681	17257
924	7695	17261
925	7704	17256
926	7714	17250
927	7726	17250
928	7739	17252
929	7750	17250
930	7761	17247
931	7770	17242
932	7780	17237
933	7794	17241
934	7805	17239
935	7815	17233
936	7823	17225
937	7833	17220
938	7843	17216
939	7853	17210
940	7863	17206
941	7874	17204
942	7886	17203
943	7897	17199
944	7906	17194
945	7916	17188
946	7925	17181
947	7933	17171
948	7943	17167
949	7954	17164
950	7964	17159
951	7973	17153
952	7983	17148
953	7994	17145
954	8004	17139
955	8020	17148
956	8031	17144
957	8052	17164
958	8069	17173
959	8089	17190
960	8101	17189
961	8114	17190
962	8127	17192
963	8136	17184
964	8147	17182
965	8158	17179
966	8171	17179
967	8185	17181
968	8200	17187
